14,7,11
Layer0
SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,-1,-1,-1,-1,-1,-1
SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,-1,-1,-1,-1,-1,-1
SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,-1,-1,-1,-1,-1,-1
SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,SandTile,SandTile,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Layer1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile
-1,-1,-1,-1,-1,-1,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile
SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile
-1,-1,-1,-1,-1,-1,-1,-1,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile
-1,-1,-1,-1,-1,-1,-1,-1,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile
-1,-1,-1,-1,-1,-1,-1,-1,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile
-1,-1,-1,-1,-1,-1,-1,-1,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Layer2
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,SandTile,SandTile,SandTile,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,SandTile,SandTile,SandTile,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,SandTile,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,SandTile,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Layer3
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,-1,-1,-1,-1,-1,-1
-1,-1,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,-1,-1,-1,-1,-1,-1
-1,-1,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,-1,-1,-1,-1,-1,-1
-1,-1,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,-1,-1,-1,-1,-1,-1
-1,-1,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,-1,-1,-1,-1,-1,-1
-1,-1,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,-1,-1,-1,-1,-1,-1
-1,-1,SandTile,SandTile,SandTile,SandTile,SandTile,SandTile,-1,-1,-1,-1,-1,-1
Layer4
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Layer5
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Layer6
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
