6,7,5
Layer0
-1,-1,-1,-1,GroundTile,GroundTile
-1,-1,GroundTile,GroundTile,GroundTile,GroundTile
-1,-1,GroundTile,GroundTile,GroundTile,GroundTile
-1,-1,GroundTile,GroundTile,GroundTile,GroundTile
-1,-1,-1,GroundTile,-1,-1
Layer1
GroundTile,GroundTile,GroundTile,GroundTile,-1,-1
GroundTile,GroundTile,GroundTile,GlassTile,GroundTile,GroundTile
GroundTile,GroundTile,GlassTile,-1,-1,GlassTile
GroundTile,GroundTile,GlassTile,-1,GlassTile,GlassTile
GroundTile,GroundTile,GroundTile,GlassTile,GroundTile,GroundTile
Layer2
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
GlassTile,GlassTile,-1,-1,-1,GlassTile
GlassTile,GlassTile,GlassTile,-1,-1,GlassTile
GlassTile,GlassTile,GlassTile,GlassTile,GlassTile,GlassTile
Layer3
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
GlassTile,GlassTile,-1,-1,-1,-1
GlassTile,GlassTile,-1,-1,-1,-1
GlassTile,GlassTile,GlassTile,-1,-1,-1
Layer4
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
Layer5
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
Layer6
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
