10,6,5
Layer0
SnowTile,SnowTile,SnowTile,SnowTile,SnowTile,SnowTile,SnowTile,SnowTile,SnowTile,SnowTile
SnowTile,SnowTile,SnowTile,SnowTile,SnowTile,SnowTile,SnowTile,SnowTile,SnowTile,SnowTile
SnowTile,SnowTile,SnowTile,SnowTile,SnowTile,SnowTile,SnowTile,SnowTile,SnowTile,SnowTile
SnowTile,SnowTile,SnowTile,SnowTile,SnowTile,SnowTile,-1,SnowTile,SnowTile,SnowTile
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Layer1
-1,-1,-1,-1,SnowTile,SnowTile,-1,-1,-1,-1
-1,-1,-1,SnowTile,SnowTile,SnowTile,-1,-1,-1,-1
-1,-1,-1,SnowTile,SnowTile,SnowTile,SnowTile,-1,-1,-1
-1,-1,SnowTile,SnowTile,SnowTile,SnowTile,SnowTile,SnowTile,-1,-1
-1,-1,-1,-1,SnowTile,-1,-1,-1,-1,-1
Layer2
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,SnowTile,-1,-1,-1,-1
-1,-1,-1,-1,-1,SnowTile,SnowTile,SnowTile,-1,-1
-1,-1,-1,-1,SnowTile,SnowTile,SnowTile,SnowTile,-1,-1
-1,-1,-1,-1,SnowTile,-1,-1,-1,-1,-1
Layer3
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,SnowTile,SnowTile,SnowTile,SnowTile,-1,-1
Layer4
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Layer5
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
