6,6,4
Layer0
GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,GroundTile
GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,GroundTile
GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,GroundTile
-1,-1,-1,-1,-1,-1
Layer1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
GlassTile,GlassTile,GlassTile,GlassTile,GlassTile,GlassTile
GlassTile,GlassTile,GlassTile,GlassTile,GlassTile,GlassTile
Layer2
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
GlassTile,GlassTile,GlassTile,GlassTile,GlassTile,GlassTile
GlassTile,GlassTile,GlassTile,GlassTile,GlassTile,GlassTile
Layer3
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
Layer4
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
Layer5
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
